description,amount,type,mode,category
UPI/KALAMANDER6301/DOMINOS,433.21,DEBIT,UPI,Food & Dining
UPI/DGHOSH5060/DOMINOS,741.04,DEBIT,UPI,Food & Dining
POS HUNGAMA 6035,4729.0,DEBIT,NETBANKING,Entertainment
POS AJIO GUNTAKAL,37758.17,DEBIT,POS,Shopping
NEFT APARTMENT RENT,9302.87,DEBIT,NEFT,Rent
UPI/KADAKIAISHITA7066/SWIGGY,1400.59,DEBIT,UPI,Food & Dining
UPI/SRIDHARUPMA1230/INDIGO,3079.5,DEBIT,UPI,Travel
UPI/ANVICHAUDHARI2807/SWIGGY,677.06,DEBIT,UPI,Food & Dining
SALARY CREDIT TCS,175118.21,CREDIT,NEFT,Salary
UPI/RISHI628401/DOMINOS,1436.79,DEBIT,UPI,Food & Dining
ZERODHA 8881,4614.0,DEBIT,NETBANKING,Investments
POS DMART BHIWANI,2939.75,DEBIT,POS,Groceries
1MG MEDICINES PAYMENT 5190,304.0,DEBIT,NEFT,Healthcare
UPI/GAANAMUSIC9369,1133.0,DEBIT,NETBANKING,Entertainment
TRANSFER FROM SELF,52109.46,CREDIT,NEFT,Transfer
UPI/MROUT1390/DMART,119.5,DEBIT,UPI,Groceries
IMPS APARTMENT RENT,8111.04,DEBIT,IMPS,Rent
NETBANKING ELECTRICITY BOARD,7345.26,DEBIT,NETBANKING,Bills
AIIMS PAYMENT 5417,4759.0,DEBIT,ECS,Healthcare
TRANSFER FROM SELF,186495.64,CREDIT,NEFT,Transfer
POS BHARAT PETROLEUM KOLKATA,606.89,DEBIT,POS,Fuel
UPI/CHARANJHA5005/FLIPKART,15245.59,DEBIT,UPI,Shopping
POS DMART HAZARIBAGH,2770.12,DEBIT,POS,Groceries
POS BIGBASKET LONI,913.02,DEBIT,POS,Groceries
POS AJIO AGRA,26787.2,DEBIT,POS,Shopping
ANGEL BROKING PAYMENT 7944,3311.0,DEBIT,UPI,Investments
UPI/TBHATTACHARYYA3430/BIGBASKET,2626.34,DEBIT,UPI,Groceries
TRANSFER FROM SELF,4610.09,CREDIT,NEFT,Transfer
UPI/SIDHUDAMYANTI5274/FLIPKART,43964.67,DEBIT,UPI,Shopping
TRANSFER FROM SELF,5689.71,CREDIT,NEFT,Transfer
GROWW SIP 1127,4006.0,DEBIT,ECS,Investments
UPI/LCHAKRABORTY1216/DMART,1155.03,DEBIT,UPI,Groceries
TRANSFER FROM SELF,13524.99,CREDIT,NEFT,Transfer
UPI/KBALA5558/AMAZON,33193.4,DEBIT,UPI,Shopping
IMPS IMPS TRANSFER,71963.31,CREDIT,IMPS,Transfer
NEFT EMI SBI,4737.82,DEBIT,NEFT,EMI
UPI/NAGIJACKSON3024/DOMINOS,1584.64,DEBIT,UPI,Food & Dining
TRANSFER FROM SELF,12172.47,CREDIT,NEFT,Transfer
SALARY CREDIT TCS,167327.0,CREDIT,NEFT,Salary
POS MAX HOSPITAL 1908,1377.0,DEBIT,NETBANKING,Healthcare
NEFT EMI LOAN,6278.16,DEBIT,NEFT,EMI
TRANSFER FROM SELF,6929.09,CREDIT,NEFT,Transfer
UPI/RAGHAVNARASIMHAN9638/DMART,1780.6,DEBIT,UPI,Groceries
IMPS NEFT TRANSFER,27476.5,DEBIT,IMPS,Transfer
POS INDIANOIL BHAGALPUR,2754.25,DEBIT,POS,Fuel
HEALTHKART 3245,4887.0,DEBIT,ECS,Healthcare
SALARY CREDIT WIPRO,176815.31,CREDIT,NEFT,Salary
POS INDIANOIL HYDERABAD,4228.29,DEBIT,POS,Fuel
POS GOAIR BUXAR,16241.64,DEBIT,POS,Travel
UPI/WGANESH8996/DMART,537.08,DEBIT,UPI,Groceries
ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,8387.32,DEBIT,ATM,Cash
ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,9776.18,DEBIT,ATM,Cash
SALARY CREDIT HCL,102428.89,CREDIT,NEFT,Salary
POS PRACTO CONSULTATION 2176,3253.0,DEBIT,ECS,Healthcare
PPF DEPOSIT PAYMENT 5461,2745.0,DEBIT,NETBANKING,Investments
UPI/YGOUR68/SWIGGY,1900.63,DEBIT,UPI,Food & Dining
NETBANKING AMAZON,42036.89,DEBIT,NETBANKING,Shopping
UPI/OSHAGOUR2899/CAFE COFFEE DAY,1063.1,DEBIT,UPI,Food & Dining
UPI/LMANN2087/FLIPKART,1383.67,DEBIT,UPI,Shopping
NETBANKING JIO,1543.24,DEBIT,NETBANKING,Bills
POS UBER MADHYAMGRAM,7056.04,DEBIT,POS,Travel
UPI/MBAWA8829/SPENCER'S,1010.27,DEBIT,UPI,Groceries
TRANSFER FROM SELF,17750.89,CREDIT,NEFT,Transfer
NIFTY ETF PAYMENT 9999,1051.0,DEBIT,NEFT,Investments
IMPS ACCOMM RENT,30532.62,DEBIT,IMPS,Rent
POS HP PETROL PUMP DANAPUR,2492.61,DEBIT,POS,Fuel
POS DMART VIJAYAWADA,907.51,DEBIT,POS,Groceries
AIRTEL EX,9286.49,DEBIT,ECS,Bills
BESCOM ERROR,205.42,DEBIT,ECS,Bills
UPI/TANAYKANNAN7288/NEFT TRANSFER,45439.71,DEBIT,UPI,Transfer
POS DOMINOS SIKAR,1491.31,DEBIT,POS,Food & Dining
IMPS NEFT TRANSFER,187940.95,DEBIT,IMPS,Transfer
UPI/CHARANJALI9403/DOMINOS,511.74,DEBIT,UPI,Food & Dining
HEALTHKART 9143,3516.0,DEBIT,ECS,Healthcare
ELECTRICITY BOARD VOLUPTATES,3492.73,DEBIT,ECS,Bills
UPI/FITANSONI3890/DOMINOS,358.82,DEBIT,UPI,Food & Dining
POS DMART ULHASNAGAR,1759.76,DEBIT,POS,Groceries
UPI/GOKHALEDOMINIC4665/MCDONALDS,1027.37,DEBIT,UPI,Food & Dining
NETBANKING FLIPKART,32918.64,DEBIT,NETBANKING,Shopping
UP1/RAMANATHANBANJEET2005/RELIANCE FRESH,3171.9,DEBIT,UPI,Groceries
UPI/YPUROHIT1432/ZOMATO,980.02,DEBIT,UPI,Food & Dining
UPI/NAGIKRISH2452/BIGBASKET,2065.78,DEBIT,UPI,Groceries
IMPS UPI TRANSFER,93968.54,DEBIT,IMPS,Transfer
UPI/TSAWHNEY6364/MCDONALDS,1708.1,DEBIT,UPI,Food & Dining
UPI/HSATHE5478/CAFE COFFEE DAY,787.63,DEBIT,UPI,Food & Dining
UPI/YSUBRAMANIAM6714/BIGBASKET,2947.53,DEBIT,UPI,Groceries
IMPS UPI TRANSFER,142287.7,CREDIT,IMPS,Transfer
UPI/SPOTIFYMUSIC6162,414.0,DEBIT,NETBANKING,Entertainment
POS FLIPKART BOKARO,34521.53,DEBIT,POS,Shopping
POS AJIO SHAHJAHANPUR,16954.58,DEBIT,POS,Shopping
POS MYNTRA ICHALKARANJI,13730.83,DEBIT,POS,Shopping
PHARMEASY PAYMENT 8415,2799.0,DEBIT,ECS,Healthcare
UPI/DCHAUDRY1688/SPENCER'S,1252.25,DEBIT,UPI,Groceries
POS DOMINOS GUWAHATI,70.85,DEBIT,POS,Food & Dining
UPI/YASHVI562409/MORE SUPERMARKET,1474.18,DEBIT,UPI,Groceries
POS INDIANOIL DHANBAD,3056.51,DEBIT,POS,Fuel
POS BIGBASKET SHIMOGA,2276.58,DEBIT,POS,Groceries
POS INDIANOIL KARNAL,2814.54,DEBIT,POS,Fuel
UPI/KNAIK9501/MYNTRA,35232.06,DEBIT,UPI,Shopping
UPI/SHARAFYOSHITA7514/AMAZON,49781.82,DEBIT,UPI,Shopping
POS MORE SUPERMARKET ROURKELA,391.22,DEBIT,POS,Groceries
EMI SBI VOLUPTATES,18724.43,DEBIT,ECS,EMI
UPI/JANYAJAYARAMAN3491/NEFT TRANSFER,156697.36,DEBIT,UPI,Transfer
UPI/HANSISHWAR560/DMART,2316.58,DEBIT,UPI,Groceries
IMPS ACCOMM RENT,15337.29,DEBIT,IMPS,Rent
AXIS MF 1718,2775.0,DEBIT,UPI,Investments
EMI HDFC LIBERO,17451.21,DEBIT,ECS,EMI
SALARY CREDIT WIPRO,156743.15,CREDIT,NEFT,Salary
POS SPENCER'S MIRZAPUR,3002.97,DEBIT,POS,Groceries
APOLLO PHARMACY PAYMENT 6598,1804.0,DEBIT,NETBANKING,Healthcare
UPI/INDALI165493/DOMINOS,640.59,DEBIT,UPI,Food & Dining
UPI/RPRASAD2354/INDIGO,11376.32,DEBIT,UPI,Travel
POS INDIGO DINDIGUL,11125.56,DEBIT,POS,Travel
POS NSC INVESTMENT 4719,687.0,DEBIT,UPI,Investments
UPI/RAMACHANDRANXAVIER9974/DOMINOS,545.6,DEBIT,UPI,Food & Dining
POS HDFC MUTUAL FUND 6996,2789.0,DEBIT,NEFT,Investments
TRANSFER FROM SELF,10781.68,CREDIT,NEFT,Transfer
UPI/PANDITABEER1104/DMART,2436.93,DEBIT,UPI,Groceries
SPOTIFY MUSIC PAYMENT 4803,1136.0,DEBIT,NETBANKING,Entertainment
UPI/UPSTOX4224,3325.0,DEBIT,NEFT,Investments
POS PRACTO CONSULTATION 3102,4780.0,DEBIT,UPI,Healthcare
UPI/HDFCMUTUALFUND4598,4525.0,DEBIT,NETBANKING,Investments
GROWW SIP 3794,3056.0,DEBIT,NEFT,Investments
TRANSFER FROM SELF,10738.69,CREDIT,NEFT,Transfer
POS AJIO JALGAON,24222.56,DEBIT,POS,Shopping
TRANSFER FROM SELF,21070.26,CREDIT,NEFT,Transfer
NETBANKING MYNTRA,18428.55,DEBIT,NETBANKING,Shopping
NEFT EMI LOAN,10437.71,DEBIT,NEFT,EMI
P0S Z0MAT0 JHANS1,211.62,DEBIT,POS,Food & Dining
NETBANKING ELECTRICITY BOARD,4362.89,DEBIT,NETBANKING,Bills
UPI/INDALIPERI6311/UPI TRANSFER,42218.82,DEBIT,UPI,Transfer
POS SIP DEBIT 5430,4583.0,DEBIT,UPI,Investments
UPI/ZEE55366,4812.0,DEBIT,UPI,Entertainment
MAX HOSPITAL 8817,3262.0,DEBIT,ECS,Healthcare
POS CAFE COFFEE DAY KALYAN-DOMBIVLI,708.64,DEBIT,POS,Food & Dining
POS AJIO SAMBALPUR,4693.02,DEBIT,POS,Shopping
UPI/RAYAANRAMAKRISHNAN107/RELIANCE FRESH,2550.04,DEBIT,UPI,Groceries
TRANSFER FROM SELF,5069.24,CREDIT,NEFT,Transfer
NETBANKING BSNL,5346.11,DEBIT,NETBANKING,Bills
UPI/KUMARBALENDRA7648/SPENCER'S,225.85,DEBIT,UPI,Groceries
UPI/AYUSHMANSUBRAMANIAM3754/DMART,428.19,DEBIT,UPI,Groceries
SALARY CREDIT TCS,174125.42,CREDIT,CREDIT,Salary
SALARY CREDIT COMPANY PAYROLL,154057.04,CREDIT,NEFT,Salary
SALARY CREDIT WIPRO,96231.25,CREDIT,NEFT,Salary
SALARY CREDIT COMPANY PAYROLL,161655.65,CREDIT,NEFT,Salary
RENT PAYMENT APARTMENT RENT,21670.64,DEBIT,NEFT,Rent
UPI/IRAJ8304/IMPS TRANSFER,153523.25,CREDIT,UPI,Transfer
TRANSFER FRO MSELF,5875.33,CREDIT,NEFT,Transfer
AIRTEL VENIAM,4458.26,DEBIT,ECS,Bills
SALARY CRED1T W1PR0,45345.53,CREDIT,NEFT,Salary
IMPS APARTMENT RENT,17884.48,DEBIT,IMPS,Rent
UPI/HIRALNAGI5950/CAFE COFFEE DAY,1590.57,DEBIT,UPI,Food & Dining
UPI/YKRISHNAMURTHY2737/NEFT TRANSFER,3765.38,DEBIT,UPI,Transfer
UPSTOX 1241,4229.0,DEBIT,ECS,Investments
JIO INVENTORE,991.04,DEBIT,ECS,Bills
POS BIGBASKET PATNA,440.02,DEBIT,POS,Groceries
UPI/AIIMS2747,2964.0,DEBIT,UPI,Healthcare
NEFT APARTMENT RENT,5900.84,DEBIT,NEFT,Rent
GAMING PURCHASE 7762,2742.0,DEBIT,NETBANKING,Entertainment
HOUSE RENT DICTA,8408.26,DEBIT,ECS,Rent
UPI/FBERA4328/FLIPKART,52845.76,DEBIT,UPI,Shopping
NEFT EMI LOAN,10727.0,DEBIT,NEFT,EMI
TRANSFER FROM SELF,3398.12,CREDIT,NEFT,Transfer
POS HEALTHKART 3178,2657.0,DEBIT,UPI,Healthcare
UPI/ESHANA59202/CAFE COFFEE DAY,379.06,DEBIT,UPI,Food & Dining
NEFT EMI LOAN,19818.9,DEBIT,NEFT,EMI
EMI SBI VOLUPTAS,13102.61,DEBIT,ECS,EMI
UPI/UWABLE3351/BESCOM,6800.32,DEBIT,UPI,Bills
AIRTEL CULPA,5666.5,DEBIT,ECS,Bills
TRANSFER FROM SELF,26761.23,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,3288.78,CREDIT,NEFT,Transfer
NETBANKING BESCOM,293.88,DEBIT,NETBANKING,Bills
APPLE MUSIC PAYMENT 6523,2542.0,DEBIT,NETBANKING,Entertainment
POS MYNTRA AVADI,46108.47,DEBIT,POS,Shopping
IMPS ACCOMM RENT,24045.64,DEBIT,IMPS,Rent
NETBANKING JIO,7814.88,DEBIT,NETBANKING,Bills
UPI/PLANKA8115/BIGBASKET,2455.67,DEBIT,UPI,Groceries
NEFT EMI LOAN,13009.98,DEBIT,NEFT,EMI
IMPS HOUSE RENT,33764.91,DEBIT,IMPS,Rent
DR CONSULTATION PAYMENT 1298,2512.0,DEBIT,UPI,Healthcare
POS IRCTC MORBI,9269.46,DEBIT,POS,Travel
POS AJIO BONGAIGAON,52134.52,DEBIT,POS,Shopping
NETBANKING BIGBASKET,597.44,DEBIT,NETBANKING,Groceries
NETBANKING BSNL,1447.87,DEBIT,NETBANKING,Bills
TRANSFER FROM SELF,20622.32,CREDIT,NEFT,Transfer
POS SWIGGY GORAKHPUR,558.57,DEBIT,POS,Food & Dining
POS DMART BHIWANI,2314.09,DEBIT,POS,Groceries
TRANSFER FROM SELF,25105.5,CREDIT,NEFT,Transfer
NETBANKING MORE SUPERMARKET,179.74,DEBIT,NETBANKING,Groceries
POS BIGBASKET JABALPUR,663.33,DEBIT,POS,Groceries
UPI/HAMSINI507772/IMPST RANSFER,99961.61,DEBIT,UPI,Transfer
UPI/VARSHA967182/UPI TRANSFER,59955.76,DEBIT,UPI,Transfer
POS HP PETROL PUMP SAMBHAL,6073.86,DEBIT,POS,Fuel
POS SONY LIV 9312,2390.0,DEBIT,UPI,Entertainment
NETBANKING ZOMATO,1055.06,DEBIT,NETBANKING,Food & Dining
BSNL VERO,403.01,DEBIT,ECS,Bills
NETBANKING OLA,8688.1,DEBIT,NETBANKING,Travel
UPI/NAVEENSAVANT1536/MCDONALDS,1473.84,DEBIT,UPI,Food & Dining
TRANSFER FROM SELF,4665.48,CREDIT,NEFT,Transfer
UPI/LABANDASGUPTA6740/IMPS TRANSFER,117969.71,CREDIT,UPI,Transfer
UPI/TEJAS929137/MCDONALDS,68.82,DEBIT,UPI,Food & Dining
UPI/BRINDAMITTAL3336/UBER,10952.74,DEBIT,UPI,Travel
ZERODHA PAYMENT 8576,2542.0,DEBIT,NETBANKING,Investments
UPI/APOLLOPHARMACY4090,2686.0,DEBIT,NEFT,Healthcare
POS RELIANCE FRESH SAHARSA,1614.05,DEBIT,POS,Groceries
BSNL QUAERAT,2981.11,DEBIT,ECS,Bills
NETBANKING BESCOM,2060.58,DEBIT,NETBANKING,Bills
UPI/BUCHSAMARTH1098/DOMINOS,993.65,DEBIT,UPI,Food & Dining
TRANSFER FROM SELF,18761.48,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,149350.06,CREDIT,NEFT,Transfer
EMI LOAN NEMO,11539.17,DEBIT,ECS,EMI
TRANSFER FROM SELF,3951.88,CREDIT,NEFT,Transfer
NEFT EMI HDFC,18538.93,DEBIT,NEFT,EMI
SALARY CREDIT WIPRO,194886.1,CREDIT,NEFT,Salary
UPI/BOOKMYSHOW8189,372.0,DEBIT,NETBANKING,Entertainment
NETBANKING MORE SUPERMARKET,1404.9,DEBIT,NETBANKING,Groceries
IMPS ACCOMM RENT,9960.1,DEBIT,IMPS,Rent
TRANSFER FROM SELF,26705.51,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,57132.4,CREDIT,NEFT,Transfer
SALARY CREDIT INFOSYS,85121.39,CREDIT,NEFT,Salary
POS IRCTC KULTI,2780.47,DEBIT,POS,Travel
POS DMART KHARAGPUR,1326.57,DEBIT,POS,Groceries
UPI/UDIXIT6359/ELECTRICITY BOARD,4146.85,DEBIT,UPI,Bills
UPI/FMAGAR6719/MCDONALDS,727.02,DEBIT,UPI,Food & Dining
GAANA MUSIC PAYMENT 8525,2727.0,DEBIT,ECS,Entertainment
DR CONSULTATION 6872,4871.0,DEBIT,NEFT,Healthcare
ELSS FUND 1639,2817.0,DEBIT,NEFT,Investments
AIIMS PAYMENT 9994,3067.0,DEBIT,UPI,Healthcare
TRANSFER FROM SELF,4394.62,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,37535.84,CREDIT,NEFT,Transfer
POS MYNTRA GHAZIABAD,11378.4,DEBIT,POS,Shopping
POS MANIPAL HOSPITAL 7079,1368.0,DEBIT,NETBANKING,Healthcare
POS INDIGO NIZAMABAD,2357.32,DEBIT,POS,Travel
POS INDIANOIL NANDYAL,3636.06,DEBIT,POS,Fuel
POS DOMINOS BHIWANI,1553.79,DEBIT,POS,Food & Dining
POS INOX MOVIES 5621,3199.0,DEBIT,UPI,Entertainment
UPI/SUDIKSHASANGHA2638/CAFE COFFEE DAY,67.01,DEBIT,UPI,Food & Dining
UPI/IKBALDIVAN4529/MCDONALDS,1449.86,DEBIT,UPI,Food & Dining
TRANSFER FROM SELF,169219.62,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,6851.21,CREDIT,NEFT,Transfer
POS MYNTRA SRIKAKULAM,42506.94,DEBIT,POS,Shopping
NETBANKING ZOMATO,575.61,DEBIT,NETBANKING,Food & Dining
POS DOMINOS PANIHATI,1616.32,DEBIT,POS,Food & Dining
UPI/HARRISON003541/VENDOR PAYMENT,8263.28,DEBIT,UPI,Other
POS ZOMATO MAHESHTALA,154.61,DEBIT,POS,Food & Dining
UPI/TANVEER558625/IMPS TRANSFER,103071.8,CREDIT,UPI,Transfer
SALARY CREDIT WIPRO,176781.02,CREDIT,CREDIT,Salary
UPI/IBASSI5631/ZOMATO,1355.97,DEBIT,UPI,Food & Dining
UPI/FORUM698213/MCDONALDS,1725.92,DEBIT,UPI,Food & Dining
UPI/AACHAL212925/NEFT TRANSFER,93463.15,CREDIT,UPI,Transfer
ZEE5 8036,2684.0,DEBIT,ECS,Entertainment
NEFT EMI HDFC,15543.72,DEBIT,NEFT,EMI
POS AJIO DHANBAD,48196.49,DEBIT,POS,Shopping
UPI/ISANGHVI3972/SWIGGY,1806.0,DEBIT,UPI,Food & Dining
TRANSFER FROM SELF,3787.39,CREDIT,NEFT,Transfer
NEFT NEFT TRANSFER,32086.87,DEBIT,NEFT,Transfer
POS 1MG MEDICINES 7417,1052.0,DEBIT,UPI,Healthcare
IMPS HOUSE RENT,8719.58,DEBIT,IMPS,Rent
UPI/PRABHUANJALI8249/GOAIR,12195.94,DEBIT,UPI,Travel
UPI/VINAYA911446/FLIPKART,29854.24,DEBIT,UPI,Shopping
EMI SBI OFFICIIS,18767.13,DEBIT,ECS,EMI
NETBANKING INDIGO,11243.24,DEBIT,NETBANKING,Travel
UPI/WATIKA038121/NEFT TRANSFER,2864.64,DEBIT,UPI,Transfer
CIPLA MED 7245,1744.0,DEBIT,ECS,Healthcare
ZERODHA 5299,2210.0,DEBIT,NEFT,Investments
UPI/PRISHABARAD5020/SWIGGY,1137.37,DEBIT,UPI,Food & Dining
UPI/BISHAKHASAMA5878/SPENCER'S,2055.51,DEBIT,UPI,Groceries
NETBANKING AMAZON,31281.61,DEBIT,NETBANKING,Shopping
INOX MOVIES 3115,2270.0,DEBIT,UPI,Entertainment
SALARY CREDIT TCS,26528.56,CREDIT,NEFT,Salary
SALARY CREDIT INFOSYS,150981.69,CREDIT,NEFT,Salary
UPI/THAKKARMADHAVI1646/AJIO,23542.43,DEBIT,UPI,Shopping
POS FLIPKART SAHARSA,40968.0,DEBIT,POS,Shopping
POS SPENCER'S KARIMNAGAR,2517.51,DEBIT,POS,Groceries
POS MYNTRA SAMBHAL,9341.25,DEBIT,POS,Shopping
BOOKMYSHOW 3975,700.0,DEBIT,ECS,Entertainment
POS SPENCER'S MACHILIPATNAM,534.92,DEBIT,POS,Groceries
UPI/NMADAN2240/DOMINOS,1041.61,DEBIT,UPI,Food & Dining
TRANSFER FROM SELF,1894.38,CREDIT,NEFT,Transfer
AXIS MF PAYMENT 3623,4458.0,DEBIT,NEFT,Investments
APOLLO PHARMACY 3108,1023.0,DEBIT,NEFT,Healthcare
FORTIS HOSPITAL PAYMENT 1029,1505.0,DEBIT,UPI,Healthcare
UPI/OM181173/BESCOM,8113.34,DEBIT,UPI,Bills
TRANSFER FROM SELF,12056.39,CREDIT,NEFT,Transfer
POS ZERODHA 9334,2704.0,DEBIT,UPI,Investments
UPI/BAILMANYA4083/AMAZON,8407.98,DEBIT,UPI,Shopping
ELECTRICITY BOARD ERROR,7386.88,DEBIT,ECS,Bills
POS AMAZON SURYAPET,28279.41,DEBIT,POS,Shopping
NETBANKING AJIO,20514.3,DEBIT,NETBANKING,Shopping
IMPS IMPS TRANSFER,159156.17,CREDIT,IMPS,Transfer
UPI/NGANESH4393/FLIPKART,27565.04,DEBIT,UPI,Shopping
UPI/GAMINGPURCHASE6080,2468.0,DEBIT,NETBANKING,Entertainment
EMI HDFC MINUS,13493.53,DEBIT,ECS,EMI
PHARMEASY 4150,4379.0,DEBIT,UPI,Healthcare
IMPS HOUSE RENT,6156.5,DEBIT,IMPS,Rent
TRANSFER FROM SELF,3349.66,CREDIT,NEFT,Transfer
NEFT ACCOMM RENT,33786.94,DEBIT,NEFT,Rent
UPI/SABHARWALTIMOTHY3849/RELIANCE FRESH,1122.54,DEBIT,UPI,Groceries
BSNL REPELLAT,423.77,DEBIT,ECS,Bills
NETBANKING BESCOM,1432.18,DEBIT,NETBANKING,Bills
POS BHARAT PETROLEUM SATNA,2460.69,DEBIT,POS,Fuel
POS BOOKMYSHOW 5189,4308.0,DEBIT,UPI,Entertainment
UPI/RONITHEDWIN9524/BSNL,6202.91,DEBIT,UPI,Bills
EMI HDFC ARCHITECTO,8886.45,DEBIT,ECS,EMI
PHARMEASY 5467,2384.0,DEBIT,NEFT,Healthcare
NEFT APARTMENT RENT,31358.04,DEBIT,NEFT,Rent
TRANSFER FROM SELF,5831.59,CREDIT,NEFT,Transfer
UPI/IDIKABEN4330/GOAIR,15675.33,DEBIT,UPI,Travel
TRANSFER FROM SELF,20152.12,CREDIT,NEFT,Transfer
UPI/OMAHAJAN5929/GOAIR,16169.67,DEBIT,UPI,Travel
NEFT EMI LOAN,7672.14,DEBIT,NEFT,EMI
UPI/NIHARIKA879154/INDIGO,15411.62,DEBIT,UPI,Travel
UPI/URVI014175/MISCELLANEOUS,5095.22,DEBIT,UPI,Other
CIPLA MED 7271,2171.0,DEBIT,NEFT,Healthcare
TRANSFER FROM SELF,1704.87,CREDIT,NEFT,Transfer
UPI/GAURIKAPRABHU8742/AJIO,20681.99,DEBIT,UPI,Shopping
ZERODHA 2515,3770.0,DEBIT,UPI,Investments
ANGEL BROKING 4912,1915.0,DEBIT,NETBANKING,Investments
TRANSFER FROM SELF,129539.85,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,33300.28,CREDIT,NEFT,Transfer
UPI/DEOLDIVYA4736/UPI TRANSFER,145418.19,DEBIT,UPI,Transfer
UPI/OBHATT3707/RELIANCE FRESH,103.5,DEBIT,UPI,Groceries
POS MCDONALDS KISHANGANJ,31.64,DEBIT,POS,Food & Dining
POS CAFE COFFEE DAY KIRARI SULEMAN NAGAR,1262.1,DEBIT,POS,Food & Dining
NEFT EMI SBI,12552.53,DEBIT,NEFT,EMI
POS AIIMS 8007,1721.0,DEBIT,UPI,Healthcare
UPI/RUSHILMANDAL9853/BSNL,8273.6,DEBIT,UPI,Bills
NEFT ACCOMM RENT,16284.73,DEBIT,NEFT,Rent
SBI MUTUAL FUND 2710,3869.0,DEBIT,ECS,Investments
POS UBER ORAI,15480.43,DEBIT,POS,Travel
IMPS IMPS TRANSFER,152615.34,DEBIT,IMPS,Transfer
SALARY CREDIT COMPANY PAYROLL,36791.34,CREDIT,NEFT,Salary
UPI/AAHANA225480/ZOMATO,626.81,DEBIT,UPI,Food & Dining
AIRTEL PARIATUR,5520.89,DEBIT,ECS,Bills
GAANA MUSIC PAYMENT 5355,203.0,DEBIT,ECS,Entertainment
POS AJIO BULANDSHAHR,8339.76,DEBIT,POS,Shopping
UPI/EKANTIKA332046/AMAZON,1820.34,DEBIT,UPI,Shopping
POS AJIO RAMGARH,33726.19,DEBIT,POS,Shopping
NEFT EMI LOAN,10789.49,DEBIT,NEFT,EMI
POS HP PETROL PUMP VIJAYAWADA,2514.0,DEBIT,POS,Fuel
POS ELSS FUND 5148,2726.0,DEBIT,NEFT,Investments
MANIPAL HOSPITAL PAYMENT 5035,2462.0,DEBIT,NETBANKING,Healthcare
UPI/USHENOY5515/NEFT TRANSFER,177869.14,CREDIT,UPI,Transfer
UPI/PRISHA551181/IMPS TRANSFER,11043.53,DEBIT,UPI,Transfer
SALARY CREDIT INFOSYS,117353.9,CREDIT,NEFT,Salary
CIPLA MED 9118,757.0,DEBIT,NETBANKING,Healthcare
NETBANKING MYNTRA,22732.62,DEBIT,NETBANKING,Shopping
BSNL VOLUPTATES,3337.58,DEBIT,ECS,Bills
TRANSFER FROM SELF,3911.43,CREDIT,NEFT,Transfer
UPI/INAYABALAKRISHNAN5456/BIGBASKET,436.72,DEBIT,UPI,Groceries
ELSS FUND PAYMENT 7620,4500.0,DEBIT,ECS,Investments
TRANSFER FROM SELF,8810.14,CREDIT,NEFT,Transfer
UPI/ARYANNAZARETH9397/FLIPKART,34045.46,DEBIT,UPI,Shopping
POS ANGEL BROKING 1767,1573.0,DEBIT,ECS,Investments
TRANSFER FROM SELF,10932.65,CREDIT,NEFT,Transfer
UPI/WMINHAS9245/CAFE COFFEE DAY,1762.58,DEBIT,UPI,Food & Dining
SALARY CREDIT COMPANY PAYROLL,155283.37,CREDIT,NEFT,Salary
TRANSFER FROM SELF,4790.07,CREDIT,NEFT,Transfer
UPI/SHETTYMATTHEW7202/NEFT TRANSFER,139946.4,DEBIT,UPI,Transfer
NETBANKING BSNL,5484.61,DEBIT,NETBANKING,Bills
UPI/PRACTOCONSULTATION7412,4602.0,DEBIT,NEFT,Healthcare
UPI/AMARA759764/DMART,1748.17,DEBIT,UPI,Groceries
NETBANKING JIO,254.32,DEBIT,NETBANKING,Bills
POS MCDONALDS MAHESHTALA,1191.72,DEBIT,POS,Food & Dining
NETBANKING BESCOM,7487.15,DEBIT,NETBANKING,Bills
BESCOM QUOD,5874.63,DEBIT,ECS,Bills
UPI/CHAVVI438511/MORE SUPERMARKET,2684.83,DEBIT,UPI,Groceries
NEFT EMI HDFC,5935.09,DEBIT,NEFT,EMI
