txn_id,date,account_id,description,amount,type,category,mode,balance,raw_text,source
TXN95676084063,2024-05-19,ACC100000,UPI/wkalita2510/UPI Transfer Ref:170195,-27709.8,DEBIT,Transfer,UPI,101978.43,2024-05-19 UPI/wkalita2510/UPI Transfer Ref:170195 -27709.8,synthetic
TXN96062090227,2024-05-19,ACC100000,NEFT IMPS Transfer Ref:887647,161844.71,CREDIT,Transfer,NEFT,263823.14,2024-05-19 NEFT IMPS Transfer Ref:887647 161844.71,synthetic
TXN91749021616,2024-05-22,ACC100000,UPI/yjohal9595/Swiggy Ref:569467,-535.4,DEBIT,Food & Dining,UPI,263287.74,2024-05-22 UPI/yjohal9595/Swiggy Ref:569467 -535.4,synthetic
TXN93216042590,2024-05-22,ACC100000,UPI/dbasak4952/DMart Ref:803482,-190.14,DEBIT,Groceries,UPI,263097.6,2024-05-22 UPI/dbasak4952/DMart Ref:803482 -190.14,synthetic
TXN95337077350,2024-05-22,ACC100000,EMI  HDFC harum,-2737.05,DEBIT,EMI,ECS,260360.55,2024-05-22 EMI  HDFC harum -2737.05,synthetic
TXN93371044831,2024-05-23,ACC100000,POS AJIO Jamshedpur,-14026.14,DEBIT,Shopping,POS,246334.41,2024-05-23 POS AJIO Jamshedpur -14026.14,synthetic
TXN95961088681,2024-05-23,ACC100000,UPI/KARBHAVANI4580/IMPS TRANSFER REF:997045,-25981.52,DEBIT,Transfer,UPI,220352.89,2024-05-23 UPI/KARBHAVANI4580/IMPS TRANSFER REF:997045 -25981.52,synthetic
TXN96456097309,2024-05-23,ACC100000,ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,-7752.38,DEBIT,Cash,ATM,212600.51,2024-05-23 ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL -7752.38,synthetic
TXN90724004244,2024-05-24,ACC100000,SALARY CREDIT WIPRO Ref:93735,147155.08,CREDIT,Salary,NEFT,359755.59,2024-05-24 SALARY CREDIT WIPRO Ref:93735 147155.08,synthetic
TXN90750004864,2024-05-24,ACC100000,SALARY CREDIT WIPRO Ref:82561,196301.23,CREDIT,Salary,NEFT,556056.82,2024-05-24 SALARY CREDIT WIPRO Ref:82561 196301.23,synthetic
TXN91175012565,2024-05-24,ACC100000,IMPS Apartment Rent Ref:498200,-15766.58,DEBIT,Rent,IMPS,540290.24,2024-05-24 IMPS Apartment Rent Ref:498200 -15766.58,synthetic
TXN91706020900,2024-05-24,ACC100000,POS  Cafe Coffee Day Tezpur,-720.94,DEBIT,Food & Dining,POS,539569.3,2024-05-24 POS  Cafe Coffee Day Tezpur -720.94,synthetic
TXN91833022762,2024-05-24,ACC100000,POS Swiggy Purnia,-988.74,DEBIT,Food & Dining,POS,538580.56,2024-05-24 POS Swiggy Purnia -988.74,synthetic
TXN91846022958,2024-05-24,ACC100000,UPI/santidika9604/Cafe Coffee Day Ref:260411,-444.59,DEBIT,Food & Dining,UPI,538135.97,2024-05-24 UPI/santidika9604/Cafe Coffee Day Ref:260411 -444.59,synthetic
TXN93272043374,2024-05-24,ACC100000,UPI/vyasharrison4747/BigBasket Ref:268340,-1700.96,DEBIT,Groceries,UPI,536435.01,2024-05-24 UPI/vyasharrison4747/BigBasket Ref:268340 -1700.96,synthetic
TXN93527047003,2024-05-24,ACC100000,POS Amazon Kharagpur,-8110.81,DEBIT,Shopping,POS,528324.2,2024-05-24 POS Amazon Kharagpur -8110.81,synthetic
TXN93716049829,2024-05-24,ACC100000,NETBANKING Ajio Ref:754822,-48675.05,DEBIT,Shopping,NETBANKING,479649.15,2024-05-24 NETBANKING Ajio Ref:754822 -48675.05,synthetic
TXN94594065355,2024-05-24,ACC100000,NETBANKING Airtel Ref:740973,-9146.7,DEBIT,Bills,NETBANKING,470502.45,2024-05-24 NETBANKING Airtel Ref:740973 -9146.7,synthetic
TXN91078010929,2024-05-25,ACC100000,House Rent doloribus,-26314.1,DEBIT,Rent,ECS,444188.35,2024-05-25 House Rent doloribus -26314.1,synthetic
TXN94083055847,2024-05-25,ACC100000,UPI/saanvi762864/Flipkart Ref:639131,-23176.91,DEBIT,Shopping,UPI,421011.44,2024-05-25 UPI/saanvi762864/Flipkart Ref:639131 -23176.91,synthetic
TXN94399061594,2024-05-25,ACC100000,NETBANKING Jio Ref:468560,-6037.94,DEBIT,Bills,NETBANKING,414973.5,2024-05-25 NETBANKING Jio Ref:468560 -6037.94,synthetic
TXN95638083440,2024-05-25,ACC100000,UPI/masterdakshesh6383/IMPS Transfer Ref:895335,18574.97,CREDIT,Transfer,UPI,433548.47,2024-05-25 UPI/masterdakshesh6383/IMPS Transfer Ref:895335 18574.97,synthetic
TXN96191092368,2024-05-25,ACC100000,UPI/wmagar4803/UPI Transfer Ref:804552,-82047.5,DEBIT,Transfer,UPI,351500.97,2024-05-25 UPI/wmagar4803/UPI Transfer Ref:804552 -82047.5,synthetic
TXN93669049124,2024-05-26,ACC100000,POS MYNTRA BALLY,-48736.23,DEBIT,Shopping,POS,302764.74,2024-05-26 POS MYNTRA BALLY -48736.23,synthetic
TXN94020054625,2024-05-26,ACC100000,POS Flipkart Panvel,-37679.61,DEBIT,Shopping,POS,265085.13,2024-05-26 POS Flipkart Panvel -37679.61,synthetic
TXN96418096508,2024-05-26,ACC100000,POS IndianOil Kulti,-4645.02,DEBIT,Fuel,POS,260440.11,2024-05-26 POS IndianOil Kulti -4645.02,synthetic
TXN91547018484,2024-05-27,ACC100000,UPI/asampath4868/Cafe Coffee Day Ref:535218,-478.44,DEBIT,Food & Dining,UPI,259961.67,2024-05-27 UPI/asampath4868/Cafe Coffee Day Ref:535218 -478.44,synthetic
TXN92287029214,2024-05-27,ACC100000,UPI/anagy3423/McDonalds Ref:417201,-590.75,DEBIT,Food & Dining,UPI,259370.92,2024-05-27 UPI/anagy3423/McDonalds Ref:417201 -590.75,synthetic
TXN94649066643,2024-05-27,ACC100000,Jio at,-6713.17,DEBIT,Bills,ECS,252657.75,2024-05-27 Jio at -6713.17,synthetic
TXN93092040752,2024-05-28,ACC100000,UPI/JALSA013876/RELIANCE FRESH REF:624886,-1696.93,DEBIT,Groceries,UPI,250960.82,2024-05-28 UPI/JALSA013876/RELIANCE FRESH REF:624886 -1696.93,synthetic
TXN93643048684,2024-05-28,ACC100000,UPI/malhotrayatin2039/AJIO  Ref:489375,-47609.23,DEBIT,Shopping,UPI,203351.59,2024-05-28 UPI/malhotrayatin2039/AJIO  Ref:489375 -47609.23,synthetic
TXN94224058524,2024-05-28,ACC100000,UPI/bcheema3782/Amazon Ref:183480,-29093.69,DEBIT,Shopping,UPI,174257.9,2024-05-28 UPI/bcheema3782/Amazon Ref:183480 -29093.69,synthetic
TXN95721085086,2024-05-28,ACC100000,UPI/gauri487283/IMPS Transfer Ref:251365,-98381.37,DEBIT,Transfer,UPI,75876.53,2024-05-28 UPI/gauri487283/IMPS Transfer Ref:251365 -98381.37,synthetic
TXN90602002007,2024-05-29,ACC100000,SALARY  CREDIT Company Payroll Ref:13482,172931.39,CREDIT,Salary,NEFT,248807.92,2024-05-29 SALARY  CREDIT Company Payroll Ref:13482 172931.39,synthetic
TXN90923008276,2024-05-29,ACC100000,SALARY CREDIT WIPRO Ref:37524,160107.8,CREDIT,Salary,NEFT,408915.72,2024-05-29 SALARY CREDIT WIPRO Ref:37524 160107.8,synthetic
TXN94290059709,2024-05-29,ACC100000,Netbanking Jio Ref:857825,-7756.87,DEBIT,Bills,NETBANKING,401158.85,2024-05-29 Netbanking Jio Ref:857825 -7756.87,synthetic
TXN94446062528,2024-05-29,ACC100000,Airtel eaque,-2660.44,DEBIT,Bills,ECS,398498.41,2024-05-29 Airtel eaque -2660.44,synthetic
TXN94564064802,2024-05-29,ACC100000,UPI/vrinda773481/BSNL Ref:262903,-6739.78,DEBIT,Bills,UPI,391758.63,2024-05-29 UPI/vrinda773481/BSNL Ref:262903 -6739.78,synthetic
TXN96311094522,2024-05-29,ACC100000,POS Bharat Petroleum Saharanpur,-4916.76,DEBIT,Fuel,POS,386841.87,2024-05-29 POS Bharat Petroleum Saharanpur -4916.76,synthetic
TXN91356015700,2024-05-30,ACC100000,UPI/jbuch507/McDonalds Ref:984144,-1172.24,DEBIT,Food & Dining,UPI,385669.63,2024-05-30 UPI/jbuch507/McDonalds Ref:984144 -1172.24,synthetic
TXN94272059372,2024-05-30,ACC100000,Jio commodi,-5304.54,DEBIT,Bills,ECS,380365.09,2024-05-30 Jio commodi -5304.54,synthetic
TXN94923070959,2024-05-30,ACC100000,POS  Uber Nandyal,-11610.42,DEBIT,Travel,POS,368754.67,2024-05-30 POS  Uber Nandyal -11610.42,synthetic
TXN95845086947,2024-05-30,ACC100000,UPI/GROVERGAUTAM1396/IMPS TRANSFER REF:334993,-147535.89,DEBIT,Transfer,UPI,221218.78,2024-05-30 UPI/GROVERGAUTAM1396/IMPS TRANSFER REF:334993 -147535.89,synthetic
TXN91672020395,2024-05-31,ACC100000,UPI/SUHANI805588/CAFE COFFEE DAY REF:614788,-1141.02,DEBIT,Food & Dining,UPI,220077.76,2024-05-31 UPI/SUHANI805588/CAFE COFFEE DAY REF:614788 -1141.02,synthetic
